INDEX,SRC_IP_ZONE,DEST_IP_ZONE,SRC_IP,DEST_IP,DEST_PORT,PROTOCOL
1,ZONE-AWS;ZONE-BRANCHES;ZONE-CORE;ZONE-DMZ1;ZONE-DMZ2;ZONE-LABO;ZONE-LAN;ZONE-LOOPBACK1;ZONE-LOOPBACK2;ZONE-MPLS;ZONE-SPECIAL;ZONE-SPECIAL1;ZONE-WAN,ZONE-AWS;ZONE-BRANCHES;ZONE-CORE;ZONE-DMZ1;ZONE-DMZ2;ZONE-LABO;ZONE-LAN;ZONE-LOOPBACK1;ZONE-LOOPBACK2;ZONE-MPLS;ZONE-SPECIAL;ZONE-SPECIAL1;ZONE-WAN,0.0.0.0/0,0.0.0.0/0,,1
2,ZONE-BRANCHES;ZONE-CORE;ZONE-LAN;ZONE-LOOPBACK3;ZONE-LOOPBACK4;ZONE-SPECIAL;ZONE-SPECIAL1,ZONE-BRANCHES;ZONE-CORE;ZONE-LAN;ZONE-LOOPBACK3;ZONE-LOOPBACK4;ZONE-SPECIAL;ZONE-SPECIAL1,::/0,0000:0000:00:0000:0:0000:0000:0000/0;::1/128,,58
3,ZONE-BRANCHES;ZONE-CORE;ZONE-LOOPBACK3;ZONE-LOOPBACK4,ZONE-BRANCHES;ZONE-CORE;ZONE-LOOPBACK3;ZONE-LOOPBACK4,2001:db8::/32,2000::/3,80,6
4,,ZONE-BRANCHES;ZONE-CORE;ZONE-LOOPBACK3;ZONE-LOOPBACK4,2000::/64;2001::/64;fd00:123:123::-fd00:123:123:a::,2001:db8::/32,80,6
5,,ZONE-BRANCHES;ZONE-CORE;ZONE-LOOPBACK3;ZONE-LOOPBACK4,fd00::/8,2000::/3,443,6
6,,ZONE-BRANCHES;ZONE-CORE;ZONE-LOOPBACK3;ZONE-LOOPBACK4,2001:db8:cafe::/64;fd00:123:123::-fd00:123:123:a::,2000::/3;fd00:123:123::-fd00:123:123:a::,4443,6
7,ZONE-WAN,ZONE-CORE;ZONE-LABO;ZONE-LAN;ZONE-MPLS;ZONE-WAN,192.0.2.0-192.0.2.5;193.0.3.1-194.5.2.1,10.0.0.0/5;123.123.123.123,8443,6
8,ZONE-CORE;ZONE-LABO;ZONE-MPLS;ZONE-WAN,ZONE-AWS;ZONE-BRANCHES;ZONE-CORE;ZONE-DMZ1;ZONE-DMZ2;ZONE-LABO;ZONE-LAN;ZONE-LOOPBACK1;ZONE-LOOPBACK2;ZONE-MPLS;ZONE-SPECIAL;ZONE-SPECIAL1;ZONE-WAN,10.1.2.10-11.1.2.10;10.1.2.10-11.1.2.10,100.64.0.0/10;0.0.0.0/32;0.0.0.0/0,9999,6
9,ZONE-BRANCHES;ZONE-CORE;ZONE-LAN;ZONE-LOOPBACK3;ZONE-LOOPBACK4;ZONE-SPECIAL;ZONE-SPECIAL1,ZONE-BRANCHES;ZONE-CORE;ZONE-LAN;ZONE-LOOPBACK3;ZONE-LOOPBACK4;ZONE-SPECIAL;ZONE-SPECIAL1,::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,0000:0000:0000:0000:0000:0000:0000:0000-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,8000,6
10,ZONE-AWS;ZONE-BRANCHES;ZONE-CORE;ZONE-DMZ1;ZONE-DMZ2;ZONE-LABO;ZONE-LAN;ZONE-LOOPBACK1;ZONE-LOOPBACK2;ZONE-MPLS;ZONE-SPECIAL;ZONE-SPECIAL1;ZONE-WAN,ZONE-BRANCHES;ZONE-CORE;ZONE-LABO;ZONE-LAN;ZONE-LOOPBACK3;ZONE-LOOPBACK4;ZONE-MPLS;ZONE-WAN,2001:db8:cafe::/64;fd00:123:123::-fd00:123:123:a::;100.64.0.0/10;0.0.0.0/32;0.0.0.0/0,2000::/3;fd00:123:123::-fd00:123:123:a::;10.0.0.0/5;123.123.123.123,4443,6
11,ZONE-WAN,ZONE-CORE;ZONE-LABO;ZONE-LAN;ZONE-MPLS;ZONE-WAN,192.0.2.0-192.0.2.5;193.0.3.1-194.5.2.1,10.0.0.0/5;123.123.123.123,8443,6
12,ZONE-CORE;ZONE-LABO;ZONE-MPLS;ZONE-WAN,ZONE-AWS;ZONE-BRANCHES;ZONE-CORE;ZONE-DMZ1;ZONE-DMZ2;ZONE-LABO;ZONE-LAN;ZONE-LOOPBACK1;ZONE-LOOPBACK2;ZONE-MPLS;ZONE-SPECIAL;ZONE-SPECIAL1;ZONE-WAN,10.1.2.10-11.1.2.10;10.1.2.10-11.1.2.10,100.64.0.0/10;0.0.0.0/32;0.0.0.0/0,9999,6
13,ZONE-WAN,ZONE-WAN,192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1;192.168.0.1,8.8.8.8;8.8.8.8;8.8.8.8;8.8.8.8;8.8.8.8;8.8.8.8;8.8.8.8;8.8.8.8;8.8.8.8,10000,6
